Inserting 10000000 vehicles into Elastic
Inserting 10000000 vehicles into ClickHouse
goos: darwin
goarch: arm64
pkg: github.com/KevinJoiner/vss-translator/cmd/esVSch
BenchmarkClickHouseVsElasstic/SelectSubject1000Vehicles/DB=Elastic                               	      28	  39634124 ns/op	11852587 B/op	   62302 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubject1000Vehicles/DB=Elastic                               	      28	  40090702 ns/op	11853162 B/op	   62301 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubject1000Vehicles/DB=Elastic                               	      28	  39643879 ns/op	11852600 B/op	   62302 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubject1000Vehicles/DB=Elastic                               	      28	  39693539 ns/op	11852881 B/op	   62302 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubject1000Vehicles/DB=Elastic                               	      27	  39566298 ns/op	11852586 B/op	   62302 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubject1000Vehicles/DB=Elastic                               	      27	  39593610 ns/op	11852883 B/op	   62302 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubjectOrderByTime1000Vehicles/DB=ClickHouse                 	      79	  15247718 ns/op	 1835341 B/op	   21671 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubjectOrderByTime1000Vehicles/DB=ClickHouse                 	      92	  15360775 ns/op	 1835477 B/op	   21671 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubjectOrderByTime1000Vehicles/DB=ClickHouse                 	      96	  15706376 ns/op	 1835392 B/op	   21671 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubjectOrderByTime1000Vehicles/DB=ClickHouse                 	      90	  15588428 ns/op	 1835376 B/op	   21671 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubjectOrderByTime1000Vehicles/DB=ClickHouse                 	      94	  15887567 ns/op	 1835392 B/op	   21671 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubjectOrderByTime1000Vehicles/DB=ClickHouse                 	      96	  15518239 ns/op	 1835493 B/op	   21671 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubjectOrderByTime1000Vehicles/DB=ClickHouse                 	      90	  15669970 ns/op	 1835415 B/op	   21672 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubjectOrderByTime1000Vehicles/DB=ClickHouse                 	      93	  16509907 ns/op	 1835516 B/op	   21671 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubjectOrderByTime1000Vehicles/DB=Elastic                    	      21	  51124778 ns/op	12023083 B/op	   73340 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubjectOrderByTime1000Vehicles/DB=Elastic                    	      22	  51463909 ns/op	12022693 B/op	   73340 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubjectOrderByTime1000Vehicles/DB=Elastic                    	      21	  50715262 ns/op	12023063 B/op	   73339 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubjectOrderByTime1000Vehicles/DB=Elastic                    	      21	  50729266 ns/op	12022692 B/op	   73340 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubjectOrderByTime1000Vehicles/DB=Elastic                    	      22	  51210123 ns/op	12023429 B/op	   73340 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubjectOrderByTime1000Vehicles/DB=Elastic                    	      21	  51762109 ns/op	12022692 B/op	   73340 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubjectOrderByTime1000Vehicles/DB=Elastic                    	      22	  51068587 ns/op	12023058 B/op	   73340 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubjectOrderByTime1000Vehicles/DB=Elastic                    	      21	  50290990 ns/op	12022706 B/op	   73341 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubjectAndBrandOrderOdmeter1000Vehicles/DB=ClickHouse        	      13	  88737359 ns/op	 1830035 B/op	   21697 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubjectAndBrandOrderOdmeter1000Vehicles/DB=ClickHouse        	      18	  70857296 ns/op	 1827916 B/op	   21676 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubjectAndBrandOrderOdmeter1000Vehicles/DB=ClickHouse        	      16	  67679466 ns/op	 1827863 B/op	   21675 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubjectAndBrandOrderOdmeter1000Vehicles/DB=ClickHouse        	      16	  66770102 ns/op	 1827809 B/op	   21674 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubjectAndBrandOrderOdmeter1000Vehicles/DB=ClickHouse        	      16	  66138838 ns/op	 1827889 B/op	   21675 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubjectAndBrandOrderOdmeter1000Vehicles/DB=ClickHouse        	      16	  65641289 ns/op	 1827806 B/op	   21674 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubjectAndBrandOrderOdmeter1000Vehicles/DB=ClickHouse        	      18	  65893301 ns/op	 1828334 B/op	   21675 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubjectAndBrandOrderOdmeter1000Vehicles/DB=ClickHouse        	      18	  65045336 ns/op	 1827900 B/op	   21675 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubjectAndBrandOrderOdmeter1000Vehicles/DB=Elastic           	      20	  53459871 ns/op	12023125 B/op	   73340 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubjectAndBrandOrderOdmeter1000Vehicles/DB=Elastic           	      22	  50544513 ns/op	12023069 B/op	   73340 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubjectAndBrandOrderOdmeter1000Vehicles/DB=Elastic           	      21	  50923046 ns/op	12022688 B/op	   73340 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubjectAndBrandOrderOdmeter1000Vehicles/DB=Elastic           	      21	  50316369 ns/op	12023060 B/op	   73339 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubjectAndBrandOrderOdmeter1000Vehicles/DB=Elastic           	      21	  50716762 ns/op	12022697 B/op	   73340 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubjectAndBrandOrderOdmeter1000Vehicles/DB=Elastic           	      22	  50965383 ns/op	12023064 B/op	   73340 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubjectAndBrandOrderOdmeter1000Vehicles/DB=Elastic           	      22	  50611275 ns/op	12023067 B/op	   73340 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubjectAndBrandOrderOdmeter1000Vehicles/DB=Elastic           	      22	  50233824 ns/op	12023053 B/op	   73340 allocs/op
BenchmarkClickHouseVsElasstic/SelectAny10000Vehicles/DB=ClickHouse                               	      28	  41245101 ns/op	18030200 B/op	  210904 allocs/op
BenchmarkClickHouseVsElasstic/SelectAny10000Vehicles/DB=ClickHouse                               	      30	  40897335 ns/op	18029817 B/op	  210903 allocs/op
BenchmarkClickHouseVsElasstic/SelectAny10000Vehicles/DB=ClickHouse                               	      28	  39684391 ns/op	18029488 B/op	  210903 allocs/op
BenchmarkClickHouseVsElasstic/SelectAny10000Vehicles/DB=ClickHouse                               	      27	  39236685 ns/op	18029169 B/op	  210903 allocs/op
BenchmarkClickHouseVsElasstic/SelectAny10000Vehicles/DB=ClickHouse                               	      30	  38883722 ns/op	18029322 B/op	  210903 allocs/op
BenchmarkClickHouseVsElasstic/SelectAny10000Vehicles/DB=ClickHouse                               	      28	  39771945 ns/op	18030482 B/op	  210904 allocs/op
BenchmarkClickHouseVsElasstic/SelectAny10000Vehicles/DB=ClickHouse                               	      26	  39471458 ns/op	18029190 B/op	  210903 allocs/op
BenchmarkClickHouseVsElasstic/SelectAny10000Vehicles/DB=ClickHouse                               	      28	  39471884 ns/op	18029725 B/op	  210903 allocs/op
BenchmarkClickHouseVsElasstic/SelectAny10000Vehicles/DB=Elastic                                  	       4	 295921167 ns/op	160159860 B/op	  620593 allocs/op
BenchmarkClickHouseVsElasstic/SelectAny10000Vehicles/DB=Elastic                                  	       4	 282492375 ns/op	160159844 B/op	  620592 allocs/op
BenchmarkClickHouseVsElasstic/SelectAny10000Vehicles/DB=Elastic                                  	       4	 281269208 ns/op	160159814 B/op	  620591 allocs/op
BenchmarkClickHouseVsElasstic/SelectAny10000Vehicles/DB=Elastic                                  	       4	 279493917 ns/op	160161904 B/op	  620593 allocs/op
BenchmarkClickHouseVsElasstic/SelectAny10000Vehicles/DB=Elastic                                  	       4	 285063448 ns/op	160159820 B/op	  620591 allocs/op
BenchmarkClickHouseVsElasstic/SelectAny10000Vehicles/DB=Elastic                                  	       4	 283719594 ns/op	160159878 B/op	  620594 allocs/op
